link;Артикул;Тип;Цоколь;Мощность;Цветовая температура;Серия;Количество в упаковке;Гарантия;Тип лампы;Световой поток Лм;Индекс цветопередачи;Рабочее напряжение;Размеры;Время работы, ч;Аналог лампы накаливания;Аналог галогеновой лампы;Аналог КЛЛ;Угол светового пучка;Форма;
http://gauss.ru/product/8023/;104801205-D;свеча на ветру;E14;5 Вт;4100K;Gauss;1/10/50;3 года;;450;90;185-265V;35х120 мм;35 000;;;;;;
http://gauss.ru/product/lampa-gauss-led-filament-g95/;105802106;шар;E27;6 Вт;;Gauss;10;3 года;;;90;185-265V;35x122;35 000;60 Вт;50 Вт;11 Вт;;;
http://gauss.ru/product/lampa-gauss-led-filament-g95-2/;105802006;шар;E27;6 Вт;;Gauss;10;3 года;;;90;185-265V;35x122;35 000;60 Вт;50 Вт;11 Вт;;;
http://gauss.ru/product/lampa-gauss-led-filament-globe/;105801105;шар;E14;5 Вт;;Gauss;10;3 года;;;90;185-265V;35x122;35 000;60 Вт;50 Вт;11 Вт;;;
http://gauss.ru/product/lampa-gauss-led-filament-globe-2/;105801205;шар;E14;5 Вт;;Gauss;10;3 года;;;90;185-265V;35x122;35 000;60 Вт;50 Вт;11 Вт;;;
http://gauss.ru/product/lampa-gauss-led-filament-globe-dimmable/;105802105-D;шар;E27;5 Вт;2700K;Gauss;1/10/50;3 года;;420;90;185-265V;45х80 мм;35 000;;;;;;
http://gauss.ru/product/lampa-gauss-led-filament-globe-dimmable-2/;105802205-D;шар;E27;5 Вт;4100K;Gauss;1/10/50;3 года;;450;90;185-265V;45х80 мм;35 000;;;;;;
http://gauss.ru/product/lampa-gauss-led-filament-st64/;102802006;шар;E27;6 Вт;;Gauss;10;3 года;;;90;185-265V;35x122;35 000;60 Вт;50 Вт;11 Вт;;;
http://gauss.ru/product/gauss-led-globe/;105101107-D;;E14;7 Вт;3000K;Gauss;;3 года;;560;90;150-265V;45*80;35 000;;;;240°;;
http://gauss.ru/product/gauss-led-globe-2/;105101207-D;;E14;7 Вт;4100K;Gauss;;3 года;;590;90;150-265V;45*80;35 000;;;;240°;;
http://gauss.ru/product/gauss-led-globe-3/;105102107-D;;E27;7 Вт;3000K;Gauss;;3 года;;560;90;150-265V;45*78;35 000;;;;240°;;
http://gauss.ru/product/gauss-led-globe-4/;105102207-D;;E27;7 Вт;4100K;Gauss;;3 года;;590;90;150-265V;45*78;35 000;;;;240°;;
http://gauss.ru/product/blok-pitaniya-led-strip-ps-12v/;202003100;блок питания IP20;;100 Вт;;Gauss;;1 год;;;;220-240V;160x98x38;;;;;;;
http://gauss.ru/product/blok-pitaniya-led-strip-ps-12v-2/;202003150;блок питания IP20;;150 Вт;;Gauss;;1 год;;;;220-240V;199x98x42;;;;;;;
http://gauss.ru/product/blok-pitaniya-led-strip-ps-12v-3/;202003015;блок питания IP20;;15 Вт;;Gauss;;1 год;;;;220-240V;77х48х20;;;;;;;
http://gauss.ru/product/blok-pitaniya-led-strip-ps-12v-4/;202003250;блок питания IP20;;250 Вт;;Gauss;;1 год;;;;220-240V;200x110x50;;;;;;;
http://gauss.ru/product/blok-pitaniya-led-strip-ps-12v-5/;202003030;блок питания IP20;;30 Вт;;Gauss;;1 год;;;;220-240V;85x58x38;;;;;;;
http://gauss.ru/product/blok-pitaniya-led-strip-ps-12v-6/;202003400;блок питания IP20;;400 Вт;;Gauss;;1 год;;;;220-240V;260х102х65;;;;;;;
http://gauss.ru/product/blok-pitaniya-led-strip-ps-12v-7/;202003040;блок питания IP20;;40 Вт;;Gauss;;1 год;;;;220-240V;110x78x35;;;;;;;
http://gauss.ru/product/blok-pitaniya-led-strip-ps-12v-8/;202003060;блок питания IP20;;60 Вт;;Gauss;;1 год;;;;220-240V;110x78x35;;;;;;;
http://gauss.ru/product/blok-pitaniya-dlya-svetodiodnoj-lenty-pylevlagozashhishhennyj-12v-ip66/;202023100;блок питания IP66;;100 Вт;;Gauss;;1 год;;;;220-240V;230х72х45;;;;;;;
http://gauss.ru/product/blok-pitaniya-dlya-svetodiodnoj-lenty-pylevlagozashhishhennyj-12v-ip66-2/;202023150;блок питания IP66;;150 Вт;;Gauss;;1 год;;;;220-240V;230х72х45;;;;;;;
http://gauss.ru/product/blok-pitaniya-dlya-svetodiodnoj-lenty-pylevlagozashhishhennyj-12v-ip66-3/;202023015;блок питания IP66;;15 Вт;;Gauss;;1 год;;;;220-240V;120х30х20;;;;;;;
http://gauss.ru/product/blok-pitaniya-dlya-svetodiodnoj-lenty-pylevlagozashhishhennyj-12v-ip66-4/;202023200;блок питания IP66;;200 Вт;;Gauss;;1 год;;;;220-240V;230х120х58;;;;;;;
